Week,Pine,Hemsworth,Evans,Pratt
2021-04-25,1,2,13,3
2021-05-02,1,2,6,4
2021-05-09,1,2,6,3
2021-05-16,1,2,6,3
2021-05-23,1,3,5,4
2021-05-30,1,3,6,4
2021-06-06,1,2,6,3
2021-06-13,1,2,9,4
2021-06-20,1,2,5,5
2021-06-27,1,2,5,10
2021-07-04,1,4,5,14
2021-07-11,1,3,5,6
2021-07-18,1,2,5,4
2021-07-25,1,2,5,4
2021-08-01,1,2,8,3
2021-08-08,1,2,6,3
2021-08-15,1,2,5,3
2021-08-22,1,2,6,3
2021-08-29,1,1,5,2
2021-09-05,1,2,4,3
2021-09-12,1,2,4,2
2021-09-19,1,2,4,12
2021-09-26,1,2,4,8
2021-10-03,1,2,14,4
2021-10-10,1,1,16,3
2021-10-17,1,1,8,2
2021-10-24,1,2,10,2
2021-10-31,1,2,8,17
2021-11-07,1,2,7,11
2021-11-14,1,2,7,4
2021-11-21,1,2,5,3
2021-11-28,1,2,5,3
2021-12-05,1,2,5,3
2021-12-12,1,2,4,4
2021-12-19,1,2,5,4
2021-12-26,1,3,9,3
2022-01-02,1,2,7,3
2022-01-09,1,2,6,3
2022-01-16,1,2,5,3
2022-01-23,1,2,5,3
2022-01-30,1,2,5,2
2022-02-06,1,2,5,3
2022-02-13,1,2,4,3
2022-02-20,1,2,4,3
2022-02-27,1,2,4,3
2022-03-06,1,2,4,3
2022-03-13,1,1,4,3
2022-03-20,2,2,3,3
2022-03-27,1,2,4,3
2022-04-03,2,1,4,4
